rule_d,word_d,pos_d,rule_d,words_m,poss_m,word_h,pos_h,special,order,rules_h,rules_am
rule1026([полу] + tgr -> adv),полулёжа,adv,rule1026([полу] + tgr -> adv),половина,noun,лёжа,tgr,,1;0,,
rule1026([полу] + tgr -> adv),полусидя,adv,rule1026([полу] + tgr -> adv),половина,noun,сидя,tgr,,1;0,,
rule1026([полу] + tgr -> adv),полушутя,adv,rule1026([полу] + tgr -> adv),половина,noun,шутя,tgr,,1;0,,
rule1026([полу] + adv -> adv),полутемно,adv,rule1026([полу] + adv -> adv),половина,noun,темно,adv,,1;0,,
rule1026([полу] + adv -> adv),полувсерьёз,adv,rule1026([полу] + adv -> adv),половина,noun,всерьёз,adv,,1;0,,
rule1026([полу] + adv -> adv),полунаугад,adv,rule1026([полу] + adv -> adv),половина,noun,наугад,adv,,1;0,,
rule1027([мимо/само] + verb + ом -> adv),мимоходом,adv,rule1027([мимо/само] + verb + ом -> adv),мимо,adv,ходить,verb,,1;0,rule986(verb + ом/ком -> adv),
rule1027([мимо/само] + verb + ом -> adv),мимоездом,adv,rule1027([мимо/само] + verb + ом -> adv),мимо,adv,ездить,verb,,1;0,rule986(verb + ом/ком -> adv),
rule1027([мимо/само] + verb + ом -> adv),мимолётом,adv,rule1027([мимо/само] + verb + ом -> adv),мимо,adv,лететь,verb,,1;0,rule986(verb + ом/ком -> adv),
rule1027([мимо/само] + verb + ом -> adv),самоходом,adv,rule1027([мимо/само] + verb + ом -> adv),сам,pron,ходить,verb,,1;0,rule986(verb + ом/ком -> adv),
rule1027([мимо/само] + verb + ом -> adv),самоплавом,adv,rule1027([мимо/само] + verb + ом -> adv),сам,pron,плавать,verb,,1;0,rule986(verb + ом/ком -> adv),
rule1027([мимо/само] + verb + ом -> adv),самокатом,adv,rule1027([мимо/само] + verb + ом -> adv),сам,pron,катиться,verb,,1;0,rule986(verb + ом/ком -> adv),
rule1027([мимо/само] + verb + ом -> adv),самоуком,adv,rule1027([мимо/само] + verb + ом -> adv),сам,pron,учиться,verb,,1;0,rule986(verb + ом/ком -> adv),
