rule,word_d,pos_d,words_m,poss_m,word_h,pos_h
rule1026([полу] + tgr -> adv),полусидя,adv,половина,noun,сидя,tgr
rule1026([полу] + adv -> adv),полувсерьёз,adv,половина,noun,всерьёз,adv
rule1027([мимо/само] + verb + ом -> adv),самоуком,adv,сам,pron,учиться,verb
rule1027([мимо/само] + verb + ом -> adv),самоплавом,adv,сам,pron,плавать,verb
rule1027([мимо/само] + verb + ом -> adv),самокатом,adv,сам,pron,катиться,verb
rule1027([мимо/само] + verb + ом -> adv),самоходом,adv,сам,pron,ходить,verb
rule1028(в + [пол] + noun + GEN -> adv),вполдуши,adv,половина,noun,душа,noun
rule1028(в + [пол] + noun + GEN -> adv),вполуха,adv,половина,noun,ухо,noun
rule1028(в + [пол] + noun + GEN -> adv),вполноги,adv,половина,noun,нога,noun
rule1028(в + [пол] + noun + GEN -> adv),вполглаза,adv,половина,noun,глаз,noun
rule1028(в + [пол] + noun + GEN -> adv),вполпряма,adv,половина,noun,прямой,adj
rule1028(в + [пол] + noun + GEN -> adv),вполслуха,adv,половина,noun,слух,noun
rule1028(в + [пол] + noun + GEN -> adv),вполоборота,adv,половина,noun,оборот,noun
rule1028(в + [пол] + noun + GEN -> adv),вполнакала,adv,половина,noun,накал,noun
rule1028(в + [пол] + noun + GEN -> adv),в пол-лица,adv,половина,noun,лицо,noun
rule1028(в + [пол] + noun + GEN -> adv),вполоткрыта,adv,половина,noun,открытый,adj
rule1028(в + [пол] + noun + GEN -> adv),вполсыта,adv,половина,noun,сытый,adj
rule1029(в + [пол/три] + adj + а -> adv),втридорога,adv,три,num,дорогой,adj
rule961([полу/само] + verb -> verb),самоопределиться,verb,сам,pron,определиться,verb
rule961([полу/само] + verb -> verb),полускрыть,verb,половина,noun,скрыть,verb
rule961([полу/само] + verb -> verb),самовоспламениться,verb,сам,pron,воспламениться,verb
rule961([полу/само] + verb -> verb),полусгибаться,verb,половина,noun,сгибаться,verb
rule961([полу/само] + verb -> verb),самоустраниться,verb,сам,pron,устраниться,verb
rule961([полу/само] + verb -> verb),полуговорить,verb,половина,noun,говорить,verb
rule961([полу/само] + verb -> verb),полуодеть,verb,половина,noun,одеть,verb
rule961([полу/само] + verb -> verb),полуистлеть,verb,половина,noun,истлеть,verb
rule961([полу/само] + verb -> verb),самоопыляться,verb,сам,pron,опыляться,verb
rule961([полу/само] + verb -> verb),самоочищаться,verb,сам,pron,очищаться,verb
rule961([полу/само] + verb -> verb),самоликвидироваться,verb,сам,pron,ликвидироваться,verb
rule961([noun + ITFX] + verb -> verb),плодоносить,verb,плод,noun,носить,verb
rule961([noun + ITFX] + verb -> verb),трудоустроить,verb,труд,noun,устроить,verb
rule961([noun + ITFX] + verb -> verb),видоизменить,verb,вид,noun,изменить,verb
rule961([adj + ITFX] + verb -> verb),взаимодействовать,verb,взаимный,adj,действовать,verb
rule962(noun + [фицировать] -> verb),электрофицировать,verb,-фицировать,suffixoid,электро,glroot
rule962(noun + [фицировать] -> verb),электрифицировать,verb,-фицировать,suffixoid,электро,glroot
